2019/9/27 12:00:34	初始化完毕,可以进行操作

2019/9/27 12:00:34	获取到:860个CDN,开始智能测速中...

2019/9/27 星期五 下午 12:56:46	正在从[1]号服务器获取时间...

2019/9/27 星期五 下午 12:56:46	[服务器-1]：2019/9/27 星期五 下午 12:55:34

2019/9/27 星期五 下午 12:56:46	[本地时间]：2019/9/27 星期五 下午 12:56:46

2019/9/27 星期五 下午 12:55:34	[设置完毕]已同步时间

2019/9/27 星期五 下午 12:56:33	正在初始化...已完成

2019/9/27 星期五 下午 12:56:33	链接12306服务器速度:483毫秒[良]

2019/9/27 星期五 下午 12:56:33	获取到:860个CDN,开始智能测速中...

2019/9/27 星期五 下午 12:57:12	查询完毕,本次查询共用时:1074毫秒

2019/9/27 星期五 下午 12:57:42	查询完毕,本次查询共用时:239毫秒

2019/9/27 星期五 下午 12:58:21	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:19:40	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:19:40	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:19:40	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:19:40	[任务2]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:19:40	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:19:40	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:21:44	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:21:44	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:21:44	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:21:45	[任务2]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:21:45	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:21:45	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:25:28	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:25:28	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:25:28	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:25:28	[任务2]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:25:28	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:25:28	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:27:17	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:27:17	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:27:17	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:27:22	[任务2]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:27:22	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:27:22	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:30:56	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:30:56	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:30:56	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:30:56	[任务2]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:30:56	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:30:56	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:33:29	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:33:29	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:33:29	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:33:29	[任务2]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:33:29	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:33:29	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:35:36	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:35:36	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:35:36	[任务1]算法解析完成,开始申请订单...

2019/9/27 星期五 下午 1:35:36	[任务2]目前排队人数已经超过余票张数

2019/9/27 星期五 下午 1:35:36	[小黑屋]该数据为缓存,将K45车次(1)放入小黑屋60秒...

2019/9/27 星期五 下午 1:35:36	开始查询2019-10-01车次，间隔：默认

2019/9/27 星期五 下午 1:36:45	开始预订K45车次的车票...

2019/9/27 星期五 下午 1:36:45	[极速]线程启动完成,开始解析算法...

2019/9/27 星期五 下午 1:36:45	[任务1]算法解析完成,开始申请订单...

