2019/9/30 星期一 上午 2:17:28	获取到:866个CDN,开始智能测速中...

2019/9/30 星期一 上午 6:00:00	正在执行定时抢票...

2019/9/30 星期一 上午 6:00:00	6点为高峰期，有票立即提交，没票延缓登录，避免拥堵。

2019/9/30 星期一 上午 6:00:00	开始查询2019-10-07车次，间隔：默认

2019/9/30 星期一 上午 6:04:12	正在检查登录状态...

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:50:12	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 8:52:28	链接12306服务器速度:96毫秒[优]

2019/9/30 星期一 上午 8:53:28	链接12306服务器速度:45毫秒[优]

2019/9/30 星期一 上午 9:08:23	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/30 星期一 上午 9:15:36	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 9:18:22	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/30 星期一 上午 9:18:38	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 9:28:22	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/30 星期一 上午 9:28:46	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 9:38:22	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/30 星期一 上午 9:38:29	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 9:48:23	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/30 星期一 上午 9:48:40	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 上午 10:38:23	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/30 星期一 上午 10:38:30	[检查状态]检测到下线,已成功登录

2019/9/30 星期一 下午 1:38:27	该用户已在其他地点登录或被踢出，正在重新登录...

2019/9/30 星期一 下午 1:39:18	[检查状态]检测到下线,已成功登录

