2019/12/24 星期二 上午 9:58:04	正在从[1]号服务器获取时间...

2019/12/24 星期二 上午 9:58:04	[服务器-1]：2019-12-24 09:56:03

2019/12/24 星期二 上午 9:58:04	[本地时间]：2019-12-24 09:58:04

2019/12/24 星期二 上午 9:56:03	[设置完毕]已同步时间

2019/12/24 星期二 上午 9:56:32	正在初始化...已完成

2019/12/24 星期二 上午 9:56:33	链接12306服务器速度:207毫秒[优]

2019/12/24 星期二 上午 9:56:33	[微信通知]您的账号没有绑定微信通知。

2019/12/24 星期二 上午 9:56:33	获取到:782个CDN,开始智能测速中...

2019/12/24 星期二 上午 9:57:15	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:15	查询完毕,本次查询共用时:523毫秒

2019/12/24 星期二 上午 9:57:25	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:25	查询完毕,本次查询共用时:676毫秒

2019/12/24 星期二 上午 9:57:25	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:25	查询完毕,本次查询共用时:260毫秒

2019/12/24 星期二 上午 9:57:25	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:25	查询完毕,本次查询共用时:797毫秒

2019/12/24 星期二 上午 9:57:30	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:30	查询完毕,本次查询共用时:544毫秒

2019/12/24 星期二 上午 9:57:30	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:30	查询完毕,本次查询共用时:960毫秒

2019/12/24 星期二 上午 9:57:30	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:30	查询完毕,本次查询共用时:375毫秒

2019/12/24 星期二 上午 9:57:30	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:30	查询完毕,本次查询共用时:199毫秒

2019/12/24 星期二 上午 9:57:30	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:30	查询完毕,本次查询共用时:626毫秒

2019/12/24 星期二 上午 9:57:30	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:30	查询完毕,本次查询共用时:869毫秒

2019/12/24 星期二 上午 9:57:31	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:31	查询完毕,本次查询共用时:312毫秒

2019/12/24 星期二 上午 9:57:31	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:31	查询完毕,本次查询共用时:165毫秒

2019/12/24 星期二 上午 9:57:31	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:31	查询完毕,本次查询共用时:791毫秒

2019/12/24 星期二 上午 9:57:52	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:52	查询完毕,本次查询共用时:186毫秒

2019/12/24 星期二 上午 9:57:52	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:52	查询完毕,本次查询共用时:380毫秒

2019/12/24 星期二 上午 9:57:52	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:52	查询完毕,本次查询共用时:201毫秒

2019/12/24 星期二 上午 9:57:52	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:57:52	查询完毕,本次查询共用时:387毫秒

2019/12/24 星期二 上午 9:58:12	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:12	查询完毕,本次查询共用时:198毫秒

2019/12/24 星期二 上午 9:58:32	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:32	查询完毕,本次查询共用时:87毫秒

2019/12/24 星期二 上午 9:58:32	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:32	查询完毕,本次查询共用时:507毫秒

2019/12/24 星期二 上午 9:58:33	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:33	查询完毕,本次查询共用时:243毫秒

2019/12/24 星期二 上午 9:58:33	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:33	查询完毕,本次查询共用时:422毫秒

2019/12/24 星期二 上午 9:58:33	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:33	查询完毕,本次查询共用时:184毫秒

2019/12/24 星期二 上午 9:58:33	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:33	查询完毕,本次查询共用时:289毫秒

2019/12/24 星期二 上午 9:58:33	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:33	查询完毕,本次查询共用时:107毫秒

2019/12/24 星期二 上午 9:58:34	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:34	查询完毕,本次查询共用时:89毫秒

2019/12/24 星期二 上午 9:58:34	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:34	查询完毕,本次查询共用时:732毫秒

2019/12/24 星期二 上午 9:58:34	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:34	查询完毕,本次查询共用时:330毫秒

2019/12/24 星期二 上午 9:58:34	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:34	查询完毕,本次查询共用时:146毫秒

2019/12/24 星期二 上午 9:58:34	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:34	查询完毕,本次查询共用时:223毫秒

2019/12/24 星期二 上午 9:58:35	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:35	查询完毕,本次查询共用时:193毫秒

2019/12/24 星期二 上午 9:58:35	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:35	查询完毕,本次查询共用时:64毫秒

2019/12/24 星期二 上午 9:58:35	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:35	查询完毕,本次查询共用时:617毫秒

2019/12/24 星期二 上午 9:58:36	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:58:36	查询完毕,本次查询共用时:413毫秒

2019/12/24 星期二 上午 9:59:24	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:59:24	查询完毕,本次查询共用时:282毫秒

2019/12/24 星期二 上午 9:59:26	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:59:26	查询完毕,本次查询共用时:209毫秒

2019/12/24 星期二 上午 9:59:32	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:59:32	查询完毕,本次查询共用时:361毫秒

2019/12/24 星期二 上午 9:59:33	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:59:33	查询完毕,本次查询共用时:457毫秒

2019/12/24 星期二 上午 9:59:34	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:59:34	查询完毕,本次查询共用时:561毫秒

2019/12/24 星期二 上午 9:59:34	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:59:34	查询完毕,本次查询共用时:436毫秒

2019/12/24 星期二 上午 9:59:34	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:59:34	查询完毕,本次查询共用时:403毫秒

2019/12/24 星期二 上午 9:59:34	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 9:59:34	查询完毕,本次查询共用时:390毫秒

