2019/12/26 星期四 上午 12:39:28	获取到:825个CDN,开始智能测速中...

2019/12/26 星期四 上午 6:00:00	正在执行定时抢票...

2019/12/26 星期四 上午 6:00:00	开始查询2020-01-22车次，间隔：默认

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 上午 9:03:30	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 下午 12:38:47	该用户已在其他地点登录或被踢出，正在重新登录...

2019/12/26 星期四 下午 1:02:49	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 下午 1:02:49	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 下午 1:08:48	该用户已在其他地点登录或被踢出，正在重新登录...

2019/12/26 星期四 下午 1:08:56	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 下午 2:21:40	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 下午 5:08:50	该用户已在其他地点登录或被踢出，正在重新登录...

2019/12/26 星期四 下午 5:08:57	[检查状态]检测到下线,已成功登录

2019/12/26 星期四 下午 11:30:01	当前时间：23:30:01，23:30-06:00为12306维护时间！

2019/12/26 星期四 下午 11:30:01	正在从[1]号服务器获取时间...

2019/12/26 星期四 下午 11:30:01	已设置定时抢票,现在不抢票,明天 06:00:00 开始抢票！

2019/12/26 星期四 下午 11:30:01	[服务器-1]：2019-12-26 23:30:01

2019/12/26 星期四 下午 11:30:01	[本地时间]：2019-12-26 23:30:01

2019/12/26 星期四 下午 11:30:01	[设置完毕]已同步时间

