2019/12/27 星期五 上午 12:38:18	获取到:827个CDN,开始智能测速中...

2019/12/27 星期五 上午 6:00:00	正在执行定时抢票...

2019/12/27 星期五 上午 6:00:00	开始查询2020-01-22车次，间隔：默认

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 上午 9:01:37	[检查状态]检测到下线,已成功登录

2019/12/27 星期五 下午 1:58:10	[检查状态]检测到下线,已成功登录

